registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
547;5.267;13.48;Tribanco Prefixado 13.48% por Órama;FGC;CDB;10.71% a.a.;24/04/2023;Órama;Tribanco;6;5267
548;5.259;13.51;Tribanco Prefixado 13.51% por Ágora Investimentos;FGC;CDB;10.73% a.a.;17/04/2023;Ágora Investimentos;Tribanco;6;5259
549;5.255;13.28;Tribanco Prefixado 13.28% por BTG Pactual;FGC;CDB;10.55% a.a.;17/04/2023;BTG Pactual;Tribanco;6;5255
550;5.253;13.28;Tribanco Prefixado 13.28% por modalmais;FGC;CDB;10.55% a.a.;16/04/2023;modalmais;Tribanco;6;5253
551;5.487;100.00;Voiter 100% CDI por Órama;FGC;CDB;9.82% a.a.;16/10/2023;Órama;Voiter;12;5487
552;5999;10000;Voiter 100% CDI por  rama;FGC;CDB;9.64% a.a.;10/10/2024; rama;Voiter;24;5999
553;5.287;14.50;Voiter Prefixado 14.5% por Órama;FGC;CDB;11.52% a.a.;24/04/2023;Órama;Voiter;6;5287
554;5.281;14.45;Voiter Prefixado 14.45% por Guide Investimentos;FGC;CDB;11.48% a.a.;19/04/2023;Guide Investimentos;Voiter;6;5281
555;5.279;95.00;Voiter 95% CDI por BTG Pactual;FGC;LCA;11.58% a.a.;17/04/2023;BTG Pactual;Voiter;6;5279
556;5.276;14.45;Voiter Prefixado 14.45% por BTG Pactual;FGC;CDB;11.48% a.a.;17/04/2023;BTG Pactual;Voiter;6;5276
557;5.276;14.45;Voiter Prefixado 14.45% por Ágora Investimentos;FGC;CDB;11.48% a.a.;17/04/2023;Ágora Investimentos;Voiter;6;5276
558;5.234;100.00;Voiter 100% CDI por Órama;FGC;CDB;9.69% a.a.;17/04/2023;Órama;Voiter;6;5234
559;5.234;100.00;Voiter 100% CDI por Ágora Investimentos;FGC;CDB;9.69% a.a.;17/04/2023;Ágora Investimentos;Voiter;6;5234
560;5.548;13.42;Votorantim Prefixado 13.42% por modalmais;FGC;CDB;11.07% a.a.;16/10/2023;modalmais;Votorantim;12;5548
561;5.500;102.70;Votorantim 102.7% CDI por modalmais;FGC;CDB;10.09% a.a.;16/10/2023;modalmais;Votorantim;12;5500
562;6104;1230;Votorantim Prefixado 12.3% por modalmais;FGC;CDB;10.54% a.a.;15/10/2024;modalmais;Votorantim;24;6104
563;6054;10451;Votorantim 104.51% CDI por modalmais;FGC;CDB;10.08% a.a.;15/10/2024;modalmais;Votorantim;24;6054
564;6048;10354;Votorantim 103.54% CDI por Guide Investimentos;FGC;CDB;9.98% a.a.;17/10/2024;Guide Investimentos;Votorantim;24;6048
565;8387;1248;Votorantim Prefixado 12.48% por modalmais;FGC;CDB;10.93% a.a.;15/10/2027;modalmais;Votorantim;60;8387
566;8272;10883;Votorantim 108.83% CDI por modalmais;FGC;CDB;10.62% a.a.;15/10/2027;modalmais;Votorantim;60;8272
567;5.605;14.80;Will Financeira Prefixado 14.8% por Órama;FGC;CDB;12.20% a.a.;16/10/2023;Órama;Will Financeira;12;5605
